route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"100",1549_PO,1549_2639,"Plac Na Stawach",,1,PO_101-01_47,948432,0,0
"100",1548_PO,1548_2715,"Kopiec Kościuszki",,0,PO_101-01_48,946801,0,0
"100",1549_PO,1549_2642,"Kopiec Kościuszki",,0,PO_101-01_48,948431,0,0
"101",1548_PO,1548_2721,"Os. Podwawelskie",,1,PO_101-01_49,946854,0,0
"101",1549_PO,1549_2646,"Os. Podwawelskie",,1,PO_101-01_49,948484,0,0
"101",1548_PO,1548_2724,"Kopiec Kościuszki",,0,PO_101-01_50,946856,0,0
"101",1549_PO,1549_2650,"Kopiec Kościuszki",,0,PO_101-01_50,948486,0,0
"100",1548_PO,1548_2729,"Plac Na Stawach",,1,PO_101-01_51,946802,0,0
"100",1549_PO,1549_2654,"Plac Na Stawach",,1,PO_101-01_51,948432,0,0
"100",1548_PO,1548_2733,"Kopiec Kościuszki",,0,PO_101-01_52,946801,0,0
"100",1549_PO,1549_2658,"Kopiec Kościuszki",,0,PO_101-01_52,948431,0,0
"101",1548_PO,1548_2736,"Os. Podwawelskie",,1,PO_101-01_53,946854,0,0
"101",1549_PO,1549_2662,"Os. Podwawelskie",,1,PO_101-01_53,948484,0,0
"101",1548_PO,1548_2740,"Kopiec Kościuszki",,0,PO_101-01_54,946856,0,0
"101",1549_PO,1549_2666,"Kopiec Kościuszki",,0,PO_101-01_54,948486,0,0
"100",1548_PO,1548_2743,"Plac Na Stawach",,1,PO_101-01_55,946802,0,0
"100",1549_PO,1549_2670,"Plac Na Stawach",,1,PO_101-01_55,948432,0,0
"100",1548_PO,1548_2747,"Kopiec Kościuszki",,0,PO_101-01_56,946801,0,0
"100",1549_PO,1549_2674,"Kopiec Kościuszki",,0,PO_101-01_56,948431,0,0
"101",1548_PO,1548_2751,"Os. Podwawelskie",,1,PO_101-01_57,946854,0,0
"101",1549_PO,1549_2678,"Os. Podwawelskie",,1,PO_101-01_57,948484,0,0
"101",1548_PO,1548_2755,"Kopiec Kościuszki",,0,PO_101-01_58,946856,0,0
"101",1549_PO,1549_2682,"Kopiec Kościuszki",,0,PO_101-01_58,948486,0,0
"101",1548_PO,1548_2758,"Os. Podwawelskie",,1,PO_101-01_59,946854,0,0
"101",1549_PO,1549_2687,"Os. Podwawelskie",,1,PO_101-01_59,948484,0,0
"103",1548_PO,1548_1727,"Lesisko",,0,PO_103-01_2,946750,0,0
"103",1549_PO,1549_1693,"Lesisko",,0,PO_103-01_2,948380,0,0
"103",1548_PO,1548_1731,"Aleja Przyjaźni",,1,PO_103-01_3,946746,0,0
"103",1549_PO,1549_1697,"Aleja Przyjaźni",,1,PO_103-01_3,948376,0,0
"103",1548_PO,1548_1736,"Lesisko",,0,PO_103-01_4,946747,0,0
"103",1549_PO,1549_1701,"Lesisko",,0,PO_103-01_4,948377,0,0
"103",1548_PO,1548_1738,"Aleja Przyjaźni",,1,PO_103-01_5,946746,0,0
"103",1549_PO,1549_1705,"Aleja Przyjaźni",,1,PO_103-01_5,948376,0,0
"103",1548_PO,1548_1742,"Lesisko",,0,PO_103-01_6,946747,0,0
"103",1549_PO,1549_1709,"Lesisko",,0,PO_103-01_6,948377,0,0
"103",1548_PO,1548_1747,"Aleja Przyjaźni",,1,PO_103-01_7,946746,0,0
"103",1549_PO,1549_1713,"Aleja Przyjaźni",,1,PO_103-01_7,948376,0,0
"103",1548_PO,1548_1752,"Lesisko",,0,PO_103-01_8,946747,0,0
"103",1549_PO,1549_1717,"Lesisko",,0,PO_103-01_8,948377,0,0
"103",1548_PO,1548_1757,"Aleja Przyjaźni",,1,PO_103-01_9,946746,0,0
"103",1549_PO,1549_1721,"Aleja Przyjaźni",,1,PO_103-01_9,948376,0,0
